year,rank,club,revenue,dollars,country,latitude,longitude
2020,1,Barcelona,840.8,908.1,Spain,41.3809,2.1228
2020,2,Real Madrid,757.3,817.9,Spain,41.4531,-3.6883
2020,3,Manchester United,711.5,768.4,England,55.4631,-2.2913
2020,4,Bayern Munich,660.1,712.9,Germany,48.2188,11.6247
2020,5,Paris Saint‑Germain,635.9,686.8,France,48.8414,2.253
2020,6,Manchester City,610.6,659.4,England,54.4831,-2.2004
2020,7,Liverpool,604.7,653.1,England,51.4308,-3.9608
2020,8,Tottenham Hotspur,521.1,562.8,England,50.6043,-1.5664
2020,9,Chelsea,513.1,554.1,England,51.4817,-1.191
2020,10,Juventus,459.7,496.5,Italy,45.1096,7.6413
2020,11,Arsenal,445.6,481.2,England,52.0549,-2.1084
2020,12,Borussia Dortmund,377.1,407.3,Germany,51.4926,7.4519
2020,13,Atlético Madrid,367.6,397,Spain,39.4362,-3.5995
2020,14,Internazionale,364.6,393.8,Italy,45.4781,9.122
2020,15,Schalke 04,324.8,350.8,Germany,51.5546,6.5675
2020,16,Roma,231,249.5,Italy,41.9341,12.4547
2020,17,Olympique Lyonnais,220.8,238.5,France,45.7653,4.982
2020,18,West Ham United,216.4,233.7,England,52.5387,-0.0166
2020,19,Everton,213,230,England,53.9388,-1.9663
2020,20,Napoli,207.4,224,Italy,40.8279,14.1931
2020,21,Milan,206.3,222.8,Italy,45.4781,10.124
2020,22,Leicester City,200,216,England,53.6204,-1.1422
2020,23,Ajax,199.4,215.4,Netherlands,52.3144,4.942
2020,24,Benfica,197.6,213.4,Portugal,38.7527,-9.1848
2020,25,Wolverhampton Wanderers,195.5,211.1,England,52.5902,-3.1304
2020,26,Valencia,184.7,199.5,Spain,39.4746,-0.3582
2020,27,Eintracht Frankfurt,183.8,198.5,Germany,50.0686,8.6455
2020,28,Zenit Saint Petersburg,180.4,194.8,Russia,59.9727,30.2214
2020,29,Porto,176.2,190.3,Portugal,41.1618,-8.5836
2020,30,Crystal Palace,174.5,188.5,England,51.398,-0.0861
2019,1,Real Madrid,750.9,811,Spain,41.4531,-3.6883
2019,2,Barcelona,690.4,745.6,Spain,41.3809,2.1228
2019,3,Manchester United,666,719.3,England,55.4631,-2.2913
2019,4,Bayern Munich,629.2,679.5,Germany,48.2188,11.6247
2019,5,Manchester City,568.4,613.9,England,54.4831,-2.2004
2019,6,Paris Saint‑Germain,541.7,585,France,48.8414,2.253
2019,7,Liverpool,513.7,554.8,England,51.4308,-3.9608
2019,8,Chelsea,505.7,546.2,England,52.4817,-1.191
2019,9,Arsenal,439.2,474.3,England,52.0549,-2.1084
2019,10,Tottenham Hotspur,428.3,462.6,England,50.6043,-1.5664
2019,11,Juventus,394.9,426.5,Italy,45.1096,7.6413
2019,12,Borussia Dortmund,317.2,342.6,Germany,51.4926,7.4519
2019,13,Atlético Madrid,304.4,328.8,Spain,39.4362,-3.5995
2019,14,Internazionale,280.8,303.3,Italy,45.4781,9.122
2019,15,Roma,250,270,Italy,41.9341,12.4547
2019,16,Schalke 04,243.8,263.3,Germany,51.5546,6.5675
2019,17,Everton,212.9,229.9,England,53.9388,-1.9663
2019,18,Milan,207.7,224.3,Italy,45.4781,10.124
2019,19,Newcastle United,201.5,217.6,England,54.9756,-1.6217
2019,20,West Ham United,197.9,213.7,England,52.5387,-0.0166
2019,21,Napoli,182.8,197.4,Italy,40.8279,14.1931
2019,22,Leicester City,179.4,193.8,England,53.6204,-1.1422
2019,23,Southampton,172,185.8,England,50.9058,-1.391
2019,24,Crystal Palace,169,182.5,England,51.398,-0.0861
2019,25,Zenit Saint Petersburg,167.8,181.2,Russia,59.9727,30.2214
2019,26,Besiktas,165.7,179,Turkey,41.0394,28.9941
2019,27,Sevilla,165.2,178.4,Spain,37.3841,-5.9707
2019,28,Olympique Lyonnais,164.2,177.3,France,45.7653,4.982
2019,29,Brighton & Hove Albion,157.4,170,England,50.8616,-0.0837
2019,30,Benfica,150.7,162.8,Portugal,38.7527,-9.1848
2018,1,Manchester United,676.3,730.4,England,55.4631,-2.2913
2018,2,Real Madrid,674.6,728.6,Spain,41.4531,-3.6883
2018,3,Barcelona,648.3,700.2,Spain,41.3809,2.1228
2018,4,Bayern Munich,587.8,634.8,Germany,48.2188,11.6247
2018,5,Manchester City,527.7,569.9,England,54.4831,-2.2004
2018,6,Arsenal,487.6,526.6,England,52.0549,-2.1084
2018,7,Paris Saint‑Germain,486.2,525.1,France,48.8414,2.253
2018,8,Chelsea,428,462.2,England,51.4817,-1.191
2018,9,Liverpool,424.2,458.1,England,51.4308,-3.9608
2018,10,Juventus,405.7,438.2,Italy,45.1096,7.6413
2018,11,Tottenham Hotspur,355.6,384,England,50.6043,-1.5664
2018,12,Borussia Dortmund,332.6,359.2,Germany,51.4926,7.4519
2018,13,Atlético Madrid,272.5,294.3,Spain,39.4362,-3.5995
2018,14,Leicester City,271.1,292.8,England,53.6204,-1.1422
2018,15,Internazionale,262.1,283.1,Italy,45.4781,9.122
2018,16,Schalke 04,230.2,248.6,Germany,51.5546,6.5675
2018,17,West Ham United,213.3,230.4,England,52.5387,-0.0166
2018,18,Southampton,212.1,229.1,England,50.9058,-1.391
2018,19,Napoli,200.7,216.8,Italy,40.8279,14.1931
2018,20,Everton,199.2,215.1,England,53.9388,-1.9663
2018,21,Olympique Lyonnais,198.3,214.2,France,45.7653,4.982
2018,22,Milan,191.7,207,Italy,45.4781,10.124
2018,23,Zenit Saint Petersburg,180.4,194.8,Russia,59.9727,30.2214
2018,24,Roma,171.8,185.5,Italy,41.9341,12.4547
